Case,Case_Name,Algorithm,TAC_USD_yr,LPSP_pct,N_pv_kwp,E_bess_kwh,P_bess_kw,N_sc_modules,SC_E_kwh,C_pv_cap,C_bess_cap,C_sc_cap,C_bess_deg,C_grid,bess_cycles,bess_soh,grid_import_kwh,grid_export_kwh,runtime_s
1,PV+Grid (Baseline),GWO,25620.5373,0.0785,47.0575,0.0000,0.0000,1,0.0365,3834.3274,0.4583,0.0000,0.0561,21220.7434,319.7079,0.9720,29698.2560,0.0000,1358.8873
1,PV+Grid (Baseline),AO,25620.5376,0.0785,47.0585,0.0000,0.0000,1,0.0365,3834.4137,0.4583,0.0000,0.0561,21220.6446,319.7079,0.9720,29698.0838,0.0000,1414.8950
1,PV+Grid (Baseline),BBO,25620.5734,0.0783,47.1575,0.0000,0.0000,1,0.0365,3842.4775,0.4583,0.0000,0.0561,21211.4290,319.7079,0.9720,29682.0087,0.0000,1355.0820
1,PV+Grid (Baseline),ARO,25620.5372,0.0785,47.0571,0.0000,0.0000,1,0.0365,3834.2937,0.4583,0.0000,0.0561,21220.7820,319.7079,0.9720,29698.3234,0.0000,784.2897
2,PV+BESS+Grid,BBO,22789.0273,0.0408,53.5370,96.3544,16.2837,1,0.0365,4362.2904,3192.9521,0.0000,402.6427,12227.9713,245.3901,0.9791,6741.7059,0.0000,1304.5807
2,PV+BESS+Grid,GWO,22785.9090,0.0407,53.8565,94.9249,16.0650,1,0.0365,4388.3204,3145.9306,0.0000,400.3626,12273.2187,247.4441,0.9789,6849.0602,0.0000,1315.5798
2,PV+BESS+Grid,AO,22791.2599,0.0439,52.3215,94.3968,15.5916,1,0.0365,4263.2472,3122.5614,0.0000,397.3937,12461.8658,247.0296,0.9790,7225.8926,0.0000,1327.4014
2,PV+BESS+Grid,ARO,22787.3236,0.0400,53.8531,95.8865,16.3602,1,0.0365,4388.0465,3179.8236,0.0000,402.1521,12218.7579,246.1967,0.9790,6728.5510,0.0000,1350.8794
3,PV+BESS+Grid+Degradation,GWO,22785.9381,0.0404,53.8261,95.3066,16.1613,1,0.0365,4385.8465,3159.0656,0.0000,401.0934,12254.2280,246.9574,0.9790,6807.4665,0.0000,1302.9384
3,PV+BESS+Grid+Degradation,AO,22789.6935,0.0432,53.6858,92.1525,15.5769,1,0.0365,4374.4130,3053.7606,0.0000,394.7161,12447.3300,250.9040,0.9786,7217.7965,0.0000,1453.5924
3,PV+BESS+Grid+Degradation,ARO,22787.6455,0.0426,53.7782,92.9750,15.8649,1,0.0365,4381.9468,3083.2950,0.0000,396.6151,12387.4124,249.9833,0.9787,7091.6786,0.0000,1464.4225
3,PV+BESS+Grid+Degradation,BBO,22787.0528,0.0425,53.6484,93.2465,15.9276,1,0.0365,4371.3690,3092.5494,0.0000,397.0321,12383.6396,249.5642,0.9787,7080.9925,0.0000,1293.9854
4,PV+BESS+SC+Grid (Proposed),GWO,20659.3331,0.0394,61.3258,137.5576,23.7504,17,0.6197,4996.9325,4566.0205,692.5950,445.0736,6335.0629,195.0154,0.9838,2721.2897,0.0000,2393.0996
4,PV+BESS+SC+Grid (Proposed),AO,20727.6785,0.0394,60.9859,127.1162,20.5603,17,0.6197,4969.2427,4198.2363,692.5950,439.6997,7030.8966,207.0621,0.9827,3269.4949,0.0000,2450.4780
4,PV+BESS+SC+Grid (Proposed),BBO,20682.7562,0.0394,61.0040,137.1096,23.6414,17,0.6197,4970.7101,4550.6649,692.5950,445.0092,6413.3430,195.5616,0.9838,2772.9584,0.0000,2300.8080
4,PV+BESS+SC+Grid (Proposed),ARO,20664.7807,0.0394,61.4432,140.5925,25.0346,17,0.6197,5006.5008,4678.3716,692.5950,446.3394,6148.7015,191.7227,0.9841,2587.5886,0.0000,2319.8098
