Case,Algorithm,AUC_raw,AUC_norm,TAC_init,TAC_final,Improv_pct,N_iter,AUC_rank
1,GWO,0.007822,0.000000,25621.477370,25620.537315,0.003669,501,1.000000
1,BBO,0.118806,0.000005,25620.766605,25620.573352,0.000754,501,4.000000
1,AO,0.008516,0.000000,25623.577501,25620.537551,0.011864,501,2.000000
1,ARO,0.017337,0.000001,25625.284161,25620.537229,0.018524,501,3.000000
2,GWO,6.470431,0.000284,23819.125479,22785.908959,4.337760,501,1.000000
2,BBO,19.722020,0.000865,24110.817632,22789.027307,5.482146,501,3.000000
2,AO,98.492206,0.004321,23935.432526,22791.259861,4.780246,501,4.000000
2,ARO,8.842613,0.000388,23940.549133,22787.323553,4.817039,501,2.000000
3,GWO,8.600081,0.000377,23088.939003,22785.938083,1.312321,501,1.000000
3,BBO,23.330236,0.001024,22880.129330,22787.052808,0.406801,501,3.000000
3,AO,56.655536,0.002486,23931.344657,22789.693502,4.770527,501,4.000000
3,ARO,9.006842,0.000395,23438.445746,22787.645457,2.776636,501,2.000000
4,GWO,125.760401,0.006087,22652.360673,20659.333074,8.798322,501,3.000000
4,BBO,107.258523,0.005186,22436.563983,20682.756176,7.816740,501,2.000000
4,AO,514.243336,0.024809,24048.831324,20727.678508,13.810038,501,4.000000
4,ARO,56.770034,0.002747,21242.505005,20664.780720,2.719662,501,1.000000
