Case,Case_label,Algorithm,Conv_iter,TAC_at_conv,Final_TAC,Speed_rank
1,Case 1 (PV+Grid),GWO,0,25621.4774,25620.5373,1.0000
1,Case 1 (PV+Grid),BBO,0,25620.7666,25620.5734,1.0000
1,Case 1 (PV+Grid),AO,0,25623.5775,25620.5376,1.0000
1,Case 1 (PV+Grid),ARO,0,25625.2842,25620.5372,1.0000
2,Case 2 (PV+BESS+Grid),GWO,3,22827.6543,22785.9090,1.0000
2,Case 2 (PV+BESS+Grid),BBO,4,22937.4005,22789.0273,2.0000
2,Case 2 (PV+BESS+Grid),AO,59,23004.9679,22791.2599,4.0000
2,Case 2 (PV+BESS+Grid),ARO,4,22997.2308,22787.3236,2.0000
3,Case 3 (+Degradation),GWO,2,22908.4656,22785.9381,2.0000
3,Case 3 (+Degradation),BBO,0,22880.1293,22787.0528,1.0000
3,Case 3 (+Degradation),AO,8,22865.1038,22789.6935,4.0000
3,Case 3 (+Degradation),ARO,3,22987.0732,22787.6455,3.0000
4,Case 4 (Proposed),GWO,27,20857.5854,20659.3331,2.0000
4,Case 4 (Proposed),BBO,107,20820.1821,20682.7562,3.0000
4,Case 4 (Proposed),AO,347,20793.3261,20727.6785,4.0000
4,Case 4 (Proposed),ARO,11,20821.5928,20664.7807,1.0000
