pct,TAC,Delta_TAC,Delta_TAC_pct,Parameter
-20,19682.1091,-998.9665,-4.8303,c_pv ($/kWp)
-10,20181.5923,-499.4832,-2.4152,c_pv ($/kWp)
0,20681.0755,0.0000,0.0000,c_pv ($/kWp)
10,21180.5587,499.4832,2.4152,c_pv ($/kWp)
20,21680.0420,998.9665,4.8303,c_pv ($/kWp)
-20,19450.6881,-1230.3875,-5.9493,c_bess ($/kWh)
-10,20065.8818,-615.1937,-2.9747,c_bess ($/kWh)
0,20681.0755,0.0000,0.0000,c_bess ($/kWh)
10,21296.2692,615.1937,2.9747,c_bess ($/kWh)
20,21911.4630,1230.3875,5.9493,c_bess ($/kWh)
-20,19667.2509,-1013.8246,-4.9022,"Demand charge 
 ($/kW/mo)"
-10,20174.1632,-506.9123,-2.4511,"Demand charge 
 ($/kW/mo)"
0,20681.0755,0.0000,0.0000,"Demand charge 
 ($/kW/mo)"
10,21187.9878,506.9123,2.4511,"Demand charge 
 ($/kW/mo)"
20,21694.9001,1013.8246,4.9022,"Demand charge 
 ($/kW/mo)"
-20,19548.1221,-1132.9534,-5.4782,"Discount 
 rate r"
-10,20108.1428,-572.9327,-2.7703,"Discount 
 rate r"
0,20681.0755,0.0000,0.0000,"Discount 
 rate r"
10,21266.3757,585.3002,2.8301,"Discount 
 rate r"
20,21863.4935,1182.4180,5.7174,"Discount 
 rate r"
